ims_final_full_classification,n,percent
Bacteria,288,0.3150984682713348
Bacteria-malaria,51,0.05579868708971553
Malaria,69,0.07549234135667396
Suspected bacterial,30,0.03282275711159737
Suspected malaria,16,0.0175054704595186
Suspected viral,135,0.14770240700218817
Viral,104,0.1137855579868709
unknown,221,0.24179431072210067
